Herz Zwei,2,h
Herz Drei,3,h
Herz Vier,4,h
Herz Fuenf,5,h
Herz Sechs,6,h
Herz Sieben,7,h
Herz Acht,8,h
Herz Neun,9,h
Herz Zehn,10,h
Herz Bube,10,h
Herz Dame,10,h
Herz Koenig,10,h
Herz Ass,11,h
Caro Zwei,2,c
Caro Drei,3,c
Caro Vier,4,c
Caro Fuenf,5,c
Caro Sechs,6,c
Caro Sieben,7,c
Caro Acht,8,c
Caro Neun,9,c
Caro Zehn,10,c
Caro Bube,10,c
Caro Dame,10,c
Caro Koenig,10,c
Karo Ass,11,k
Pik Zwei,2,p
Pik Drei,3,p
Pik Vier,4,p
Pik Fuenf,5,p
Pik Sechs,6,p
Pik Sieben,7,p
Pik Acht,8,p
Pik Neun,9,p
Pik Zehn,10,p
Pik Bube,10,p
Pik Dame,10,p
Pik Koenig,10,p
Pik Ass,11,p
Kreuz Zwei,2,k
Kreuz Drei,3,k
Kreuz Vier,4,k
Kreuz Fuenf,5,k
Kreuz Secks,6,k
Kreuz Sieben,7,k
Kreuz Ackt,8,k
Kreuz Neun,9,k
Kreuz Zehn,10,k
Kreuz Bube,10,k
Kreuz Dame,10,k
Kreuz Koenig,10,k
Kreuz Ass,11,k
